 ID,Date,Parameter/Paramètre,Value/Valeur,Symbol/Symbole
01ED003,1968-12-20,discharge/débit,33.1,
01ED003,1968-12-21,discharge/débit,43.0,
01ED003,1968-12-22,discharge/débit,43.3,
01ED003,1968-12-23,discharge/débit,43.6,
01ED003,1968-12-24,discharge/débit,32.6,
01ED003,1968-12-25,discharge/débit,34.8,
01ED003,1968-12-26,discharge/débit,41.6,
01ED003,1968-12-27,discharge/débit,37.1,
01ED003,1968-12-28,discharge/débit,24.2,
01ED003,1968-12-29,discharge/débit,40.8,
01ED003,1968-12-30,discharge/débit,43.9,
01ED003,1968-12-31,discharge/débit,29.7,
01ED003,1969-01-01,discharge/débit,58.0,
01ED003,1969-01-02,discharge/débit,61.7,
01ED003,1969-01-03,discharge/débit,57.2,
01ED003,1969-01-04,discharge/débit,49.8,
01ED003,1969-01-05,discharge/débit,69.9,
01ED003,1969-01-06,discharge/débit,68.2,
01ED003,1969-01-07,discharge/débit,61.7,
01ED003,1969-01-08,discharge/débit,77.3,
01ED003,1969-01-09,discharge/débit,66.8,
01ED003,1969-01-10,discharge/débit,69.9,
01ED003,1969-01-11,discharge/débit,59.7,
01ED003,1969-01-12,discharge/débit,46.4,
01ED003,1969-01-13,discharge/débit,60.9,
01ED003,1969-01-14,discharge/débit,55.2,
01ED003,1969-01-15,discharge/débit,34.3,
01ED003,1969-01-16,discharge/débit,34.5,
01ED003,1969-01-17,discharge/débit,39.6,
01ED003,1969-01-18,discharge/débit,48.1,
01ED003,1969-01-19,discharge/débit,34.3,
01ED003,1969-01-20,discharge/débit,47.6,
01ED003,1969-01-21,discharge/débit,45.6,
01ED003,1969-01-22,discharge/débit,64.6,
01ED003,1969-01-23,discharge/débit,58.6,
01ED003,1969-01-24,discharge/débit,66.3,
01ED003,1969-01-25,discharge/débit,61.4,
01ED003,1969-01-26,discharge/débit,59.5,
01ED003,1969-01-27,discharge/débit,55.8,
01ED003,1969-01-28,discharge/débit,56.6,
01ED003,1969-01-29,discharge/débit,50.1,
01ED003,1969-01-30,discharge/débit,38.5,
01ED003,1969-01-31,discharge/débit,44.5,
01ED003,1969-02-01,discharge/débit,36.2,
01ED003,1969-02-02,discharge/débit,45.6,
01ED003,1969-02-03,discharge/débit,55.5,
01ED003,1969-02-04,discharge/débit,69.4,
01ED003,1969-02-05,discharge/débit,71.6,
01ED003,1969-02-06,discharge/débit,78.2,
01ED003,1969-02-07,discharge/débit,68.2,
01ED003,1969-02-08,discharge/débit,64.8,
01ED003,1969-02-09,discharge/débit,62.3,
01ED003,1969-02-10,discharge/débit,58.3,
01ED003,1969-02-11,discharge/débit,59.7,
01ED003,1969-02-12,discharge/débit,62.0,
01ED003,1969-02-13,discharge/débit,46.4,
01ED003,1969-02-14,discharge/débit,48.1,
01ED003,1969-02-15,discharge/débit,72.5,
01ED003,1969-02-16,discharge/débit,58.3,
01ED003,1969-02-17,discharge/débit,71.9,
01ED003,1969-02-18,discharge/débit,53.0,
01ED003,1969-02-19,discharge/débit,58.9,
01ED003,1969-02-20,discharge/débit,56.4,
01ED003,1969-02-21,discharge/débit,59.2,
01ED003,1969-02-22,discharge/débit,45.3,
01ED003,1969-02-23,discharge/débit,48.1,
01ED003,1969-02-24,discharge/débit,67.7,
01ED003,1969-02-25,discharge/débit,63.7,
01ED003,1969-02-26,discharge/débit,77.0,
01ED003,1969-02-27,discharge/débit,63.7,
01ED003,1969-02-28,discharge/débit,67.4,
01ED003,1969-03-01,discharge/débit,52.1,
01ED003,1969-03-02,discharge/débit,56.6,
01ED003,1969-03-03,discharge/débit,66.8,
01ED003,1969-03-04,discharge/débit,65.1,
01ED003,1969-03-05,discharge/débit,66.0,
01ED003,1969-03-06,discharge/débit,67.4,
01ED003,1969-03-07,discharge/débit,66.3,
01ED003,1969-03-08,discharge/débit,69.1,
01ED003,1969-03-09,discharge/débit,47.9,
01ED003,1969-03-10,discharge/débit,73.3,
01ED003,1969-03-11,discharge/débit,66.8,
01ED003,1969-03-12,discharge/débit,60.0,
01ED003,1969-03-13,discharge/débit,61.7,
01ED003,1969-03-14,discharge/débit,62.6,
01ED003,1969-03-15,discharge/débit,62.3,
01ED003,1969-03-16,discharge/débit,52.7,
01ED003,1969-03-17,discharge/débit,56.4,
01ED003,1969-03-18,discharge/débit,63.4,
01ED003,1969-03-19,discharge/débit,62.0,
01ED003,1969-03-20,discharge/débit,59.7,
01ED003,1969-03-21,discharge/débit,67.1,
01ED003,1969-03-22,discharge/débit,70.5,
01ED003,1969-03-23,discharge/débit,65.1,
01ED003,1969-03-24,discharge/débit,79.3,
01ED003,1969-03-25,discharge/débit,79.9,
01ED003,1969-03-26,discharge/débit,97.4,
01ED003,1969-03-27,discharge/débit,69.7,
01ED003,1969-03-28,discharge/débit,60.3,
01ED003,1969-03-29,discharge/débit,49.6,
01ED003,1969-03-30,discharge/débit,38.2,
01ED003,1969-03-31,discharge/débit,49.6,
01ED003,1969-04-01,discharge/débit,45.6,
01ED003,1969-04-02,discharge/débit,49.6,
01ED003,1969-04-03,discharge/débit,38.8,
01ED003,1969-04-04,discharge/débit,26.9,
01ED003,1969-04-05,discharge/débit,32.6,
01ED003,1969-04-06,discharge/débit,37.4,
01ED003,1969-04-07,discharge/débit,39.4,
01ED003,1969-04-08,discharge/débit,49.8,
01ED003,1969-04-09,discharge/débit,59.7,
01ED003,1969-04-10,discharge/débit,41.1,
01ED003,1969-04-11,discharge/débit,32.0,
01ED003,1969-04-12,discharge/débit,27.6,
01ED003,1969-04-13,discharge/débit,26.9,
01ED003,1969-04-14,discharge/débit,32.0,
01ED003,1969-04-15,discharge/débit,44.2,
01ED003,1969-04-16,discharge/débit,35.4,
01ED003,1969-04-17,discharge/débit,55.5,
01ED003,1969-04-18,discharge/débit,44.2,
01ED003,1969-04-19,discharge/débit,49.0,
01ED003,1969-04-20,discharge/débit,38.8,
01ED003,1969-04-21,discharge/débit,50.4,
01ED003,1969-04-22,discharge/débit,41.6,
01ED003,1969-04-23,discharge/débit,53.5,
01ED003,1969-04-24,discharge/débit,47.0,
01ED003,1969-04-25,discharge/débit,44.7,
01ED003,1969-04-26,discharge/débit,34.8,
01ED003,1969-04-27,discharge/débit,37.9,
01ED003,1969-04-28,discharge/débit,44.7,
01ED003,1969-04-29,discharge/débit,43.9,
01ED003,1969-04-30,discharge/débit,41.1,
01ED003,1969-05-01,discharge/débit,39.9,
01ED003,1969-05-02,discharge/débit,47.0,
01ED003,1969-05-03,discharge/débit,42.5,
